witness_id,source_id,operator_id,conjugate_operator_id,left_path,right_path,left_defined,right_defined,left_target_id,right_target_id,domain_matches,target_matches,result
covariance:L2:3189,3189,L2,L1,L2;M,M;L1,true,true,3641,3641,true,true,PASS
covariance:L2:3193,3193,L2,L1,L2;M,M;L1,true,true,1821,1821,true,true,PASS
covariance:L2:3215,3215,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3223,3223,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3227,3227,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3229,3229,L2,L1,L2;M,M;L1,true,true,3661,3661,true,true,PASS
covariance:L2:3239,3239,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3243,3243,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3245,3245,L2,L1,L2;M,M;L1,true,true,3669,3669,true,true,PASS
covariance:L2:3251,3251,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3253,3253,L2,L1,L2;M,M;L1,true,true,3673,3673,true,true,PASS
covariance:L2:3257,3257,L2,L1,L2;M,M;L1,true,true,1837,1837,true,true,PASS
covariance:L2:3271,3271,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3275,3275,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3277,3277,L2,L1,L2;M,M;L1,true,true,3685,3685,true,true,PASS
covariance:L2:3283,3283,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3285,3285,L2,L1,L2;M,M;L1,true,true,3689,3689,true,true,PASS
covariance:L2:3289,3289,L2,L1,L2;M,M;L1,true,true,1845,1845,true,true,PASS
covariance:L2:3299,3299,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3301,3301,L2,L1,L2;M,M;L1,true,true,3697,3697,true,true,PASS
covariance:L2:3305,3305,L2,L1,L2;M,M;L1,true,true,1849,1849,true,true,PASS
covariance:L2:3313,3313,L2,L1,L2;M,M;L1,true,true,925,925,true,true,PASS
covariance:L2:3343,3343,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3351,3351,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3355,3355,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3357,3357,L2,L1,L2;M,M;L1,true,true,3725,3725,true,true,PASS
covariance:L2:3367,3367,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3371,3371,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3373,3373,L2,L1,L2;M,M;L1,true,true,3733,3733,true,true,PASS
covariance:L2:3379,3379,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3381,3381,L2,L1,L2;M,M;L1,true,true,3737,3737,true,true,PASS
covariance:L2:3385,3385,L2,L1,L2;M,M;L1,true,true,1869,1869,true,true,PASS
covariance:L2:3399,3399,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3403,3403,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3405,3405,L2,L1,L2;M,M;L1,true,true,3749,3749,true,true,PASS
covariance:L2:3411,3411,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3413,3413,L2,L1,L2;M,M;L1,true,true,3753,3753,true,true,PASS
covariance:L2:3417,3417,L2,L1,L2;M,M;L1,true,true,1877,1877,true,true,PASS
covariance:L2:3427,3427,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3429,3429,L2,L1,L2;M,M;L1,true,true,3761,3761,true,true,PASS
covariance:L2:3433,3433,L2,L1,L2;M,M;L1,true,true,1881,1881,true,true,PASS
covariance:L2:3441,3441,L2,L1,L2;M,M;L1,true,true,941,941,true,true,PASS
covariance:L2:3463,3463,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3467,3467,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3469,3469,L2,L1,L2;M,M;L1,true,true,3781,3781,true,true,PASS
covariance:L2:3475,3475,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3477,3477,L2,L1,L2;M,M;L1,true,true,3785,3785,true,true,PASS
covariance:L2:3481,3481,L2,L1,L2;M,M;L1,true,true,1893,1893,true,true,PASS
covariance:L2:3491,3491,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3493,3493,L2,L1,L2;M,M;L1,true,true,3793,3793,true,true,PASS
covariance:L2:3497,3497,L2,L1,L2;M,M;L1,true,true,1897,1897,true,true,PASS
covariance:L2:3505,3505,L2,L1,L2;M,M;L1,true,true,949,949,true,true,PASS
covariance:L2:3523,3523,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3525,3525,L2,L1,L2;M,M;L1,true,true,3809,3809,true,true,PASS
covariance:L2:3529,3529,L2,L1,L2;M,M;L1,true,true,1905,1905,true,true,PASS
covariance:L2:3537,3537,L2,L1,L2;M,M;L1,true,true,953,953,true,true,PASS
covariance:L2:3553,3553,L2,L1,L2;M,M;L1,true,true,477,477,true,true,PASS
covariance:L2:3599,3599,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3607,3607,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3611,3611,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3613,3613,L2,L1,L2;M,M;L1,true,true,3853,3853,true,true,PASS
covariance:L2:3623,3623,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3627,3627,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3629,3629,L2,L1,L2;M,M;L1,true,true,3861,3861,true,true,PASS
covariance:L2:3635,3635,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3637,3637,L2,L1,L2;M,M;L1,true,true,3865,3865,true,true,PASS
covariance:L2:3641,3641,L2,L1,L2;M,M;L1,true,true,1933,1933,true,true,PASS
covariance:L2:3655,3655,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
